Organisation,Deployment,Payments
Banrisul Prudencial,v1.0.0,[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banrisul-Banrisul_Open_Banking_Brasil-API-PAYMENTS-private_key_jwt-08-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=gcEy05Ob9saL2) PASS
PicPay Servicos S.A.,PicPay Open Banking 1.0.0,[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/PicPayServicosFinanceiros-PicPay_Open_Banking-API-PAYMENTS-private_key_jwt-9-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=VHmZLqzMyWTHO) PASS
Banco BMG SA,Banco BMG Open Banking 1.0.0,[10 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-PAYMENTS-10-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=8bAelwUoSS48M) PASS
Banco Santander do Brasil S.A.,Santander Open Banking 1.0.1,[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BCO_SANTANDER_do_Brasil_S-6.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=kBg69I1OGZKBI) PASS
Banco Do Brasil,API BB v1,[10 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_api_phase_1_test-mtls-by_value-plain_response-XH04NL2el4KBs-10-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XH04NL2el4KBs) PASS
Banco Safra S.A,Safra Open Banking 1.0.0,[10 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Banco_Safra_SA-Safra_Open_Banking-API-PAYMENTS-private_key_jwt-10-nOV-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ph7RszU1jTC0Q)   PASS
Banco BTG Pactual S.A.,Banco BTG Pactual Open Banking v1.0,[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BANCO-BTG-PACTUAL-SA-BANCO-BTG-PACTUAL-OPEN-BANKING-PAYMENTS-INIC-DICT-MANU-API-10-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=KI78QwMlT6MJ9)   PASS
Gerencianet S.A,Gerencianet Payments API v1.0,[10 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Gerencianet-Open-Banking-Brasil-PAYMENTS-API-11-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=FqcvkSfrrE0hm) PASS
Nu Pagamentos S.A - Instituição de Pagamentos,Nu Open Banking 1.0.0,[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/Payments_API_Phase_1_-_NuPagamentos.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=r24q5essNa57h)   PASS
BRB – Banco de Brasília S.A.,BRB Auth Server 1.0,[11 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/BRB-BRB_AuthServer.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=JK76SFek8bow6)   PASS
PagSeguro,v1.0.1-RC-02,"[09 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/payments/1.0.1/PagSeguro-1_0_3-API-PAYMENTS-09-Nov-2021.zip) [[View]] (https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=6ppwkmGXQyHuy)   PASS "
